更新时间: 2026-03-23 06:43:00（北京时间）

更新时间,#genre#
卡酷少儿,http://115.171.216.84:4000/rtp/225.1.8.35:8000$北京市电信
卡酷少儿,http://114.95.80.29:9001/rtp/233.18.204.109:5140$上海市电信
卡酷少儿,http://114.243.96.219:8888/rtp/239.3.1.189:8000$北京市联通
金鹰卡通,http://221.232.103.130:8989/rtp/239.69.1.248:11130$湖北电信
金鹰卡通,http://115.171.216.84:4000/rtp/225.1.8.163:9252$北京市电信
金鹰卡通,http://121.230.155.128:8000/rtp/239.49.8.33:8000$江苏电信
金鹰卡通,http://114.95.80.29:9001/rtp/233.18.204.113:5140$上海市电信
金鹰卡通,http://114.243.96.219:8888/rtp/239.3.1.51:9252$北京市联通
优漫卡通,http://121.230.155.128:8000/rtp/239.49.8.119:8000$江苏电信
嘉佳卡通,http://115.171.216.84:4000/rtp/225.1.8.170:9268$北京市电信
嘉佳卡通,http://114.243.96.219:8888/rtp/239.3.1.147:9268$北京市联通
中国交通,http://114.243.96.219:8888/rtp/239.3.1.188:8001$北京市联通
中国天气,http://121.230.155.128:8000/rtp/239.49.0.94:8000$江苏电信
华数星影,http://115.171.216.84:4000/rtp/225.1.8.254:4120$北京市电信
华数动作影院,http://115.171.216.84:4000/rtp/225.1.8.252:4120$北京市电信
华数喜剧影院,http://115.171.216.84:4000/rtp/225.1.8.251:4120$北京市电信
华数家庭影院,http://115.171.216.84:4000/rtp/225.1.8.253:4120$北京市电信
华数经典电影,http://115.171.216.84:4000/rtp/225.1.8.203:9024$北京市电信
华数热播剧场,http://115.171.216.84:4000/rtp/225.1.8.202:9020$北京市电信
华数军旅剧场,http://115.171.216.84:4000/rtp/225.1.8.228:4120$北京市电信
华数城市剧场,http://115.171.216.84:4000/rtp/225.1.8.227:4120$北京市电信
华数古装剧场,http://115.171.216.84:4000/rtp/225.1.8.229:4120$北京市电信
华数魅力时尚,http://115.171.216.84:4000/rtp/225.1.8.204:9012$北京市电信
华数少儿动画,http://115.171.216.84:4000/rtp/225.1.8.207:9000$北京市电信
华数动画,http://115.171.216.84:4000/rtp/225.1.8.240:4120$北京市电信

湖北,#genre#
湖北公共新闻,http://221.232.103.130:8989/rtp/239.69.1.40:9880$湖北电信
湖北经视频道,http://221.232.103.130:8989/rtp/239.69.1.41:9886$湖北电信
湖北综合频道,http://221.232.103.130:8989/rtp/239.69.1.42:9892$湖北电信
湖北垄上频道,http://221.232.103.130:8989/rtp/239.69.1.43:9898$湖北电信
湖北影视频道,http://221.232.103.130:8989/rtp/239.69.1.204:10866$湖北电信
湖北生活频道,http://221.232.103.130:8989/rtp/239.69.1.205:10872$湖北电信
湖北教育频道,http://221.232.103.130:8989/rtp/239.69.1.206:10878$湖北电信
武汉新闻综合,http://221.232.103.130:8989/rtp/239.69.1.145:10506$湖北电信
武汉电视剧,http://221.232.103.130:8989/rtp/239.69.1.146:10512$湖北电信
武汉科技生活,http://221.232.103.130:8989/rtp/239.69.1.251:11148$湖北电信
武汉文体频道,http://221.232.103.130:8989/rtp/239.69.1.147:10518$湖北电信
武汉教育频道,http://221.232.103.130:8989/rtp/239.69.1.60:9994$湖北电信
阳新综合,http://221.232.103.130:8989/rtp/239.69.1.34:9844$湖北电信
房县综合,http://221.232.103.130:8989/rtp/239.69.1.192:10794$湖北电信
蔡甸综合,http://221.232.103.130:8989/rtp/239.69.1.245:11112$湖北电信

